food_id,food_name,arabic_name,category,cuisine,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,cholesterol_mg,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_b12_mcg,zinc_mg,phosphorus_mg,water_g,is_vegan,is_vegetarian,is_halal,glycemic_index,meal_type,country
26,Walnuts (Roasted),,Nuts,International,300,1961.2,60.9,46.4,140.8,9.0,7.5,582,1152,395,5.7,155,333,693,29.8,0.5,0.42,0.86,401,76.6,true,true,true,33,Breakfast,Japan
27,Turnip (Roasted),,Vegetable,International,150,60.0,3.0,11.2,0.5,5.9,10.5,474,1125,259,3.4,245,0,1238,94.7,5.0,7.22,6.13,293,45.3,true,true,true,50,Breakfast,Turkey
28,Hazelnuts (Low Fat),,Nuts,International,50,317.2,10.6,8.0,28.2,1.7,16.1,342,867,386,8.1,202,285,510,76.3,7.8,6.18,3.94,25,55.3,true,true,true,84,Snack,France
29,Broccoli (With Rice),,Vegetable,International,150,56.4,3.3,10.2,0.4,5.2,8.3,180,720,232,4.7,33,0,77,107.1,4.2,2.56,1.98,581,72.1,true,true,true,95,Dinner,India
30,Walnuts (Raw),,Nuts,International,50,271.6,10.5,8.2,26.3,5.6,12.8,29,763,489,6.5,37,137,730,81.7,8.1,2.77,6.38,140,61.9,true,true,true,82,Snack,India
31,Cottage Cheese (With Vegetables),,Dairy,International,180,187.8,13.1,10.3,10.2,5.0,9.8,810,200,188,5.1,101,52,401,38.6,8.3,2.95,1.6,86,51.7,false,true,true,75,Snack,Japan
32,Almonds (Baked),,Nuts,International,150,778.9,33.9,30.6,72.6,10.0,14.6,753,765,37,3.4,52,61,55,66.7,6.0,0.26,1.72,313,43.7,true,true,true,60,Snack,France
33,Turkey (Grilled),,Protein,International,200,452.0,41.3,2.0,17.9,4.0,14.0,1143,503,439,3.2,203,83,403,69.5,9.5,3.81,3.63,296,52.7,false,false,true,70,Snack,France
34,Strawberry (Organic),,Fruit,International,120,69.5,1.2,18.2,0.4,0.7,13.9,1042,959,351,6.1,160,0,481,116.6,2.1,4.16,7.27,447,80.6,true,true,true,69,Breakfast,USA
35,Sardines (Steamed),,Protein,International,300,712.7,82.6,2.9,30.8,1.7,19.3,623,901,84,1.7,73,315,475,92.0,2.4,1.53,4.79,336,89.7,false,false,true,77,Breakfast,Mexico
36,Okra (Roasted),,Vegetable,International,120,43.5,2.6,8.0,0.3,0.5,4.3,357,995,227,1.8,147,0,1073,7.6,7.9,5.24,3.37,179,37.8,true,true,true,77,Lunch,France
37,Barley (Fried),,Grains,International,150,307.0,9.3,49.5,2.9,7.2,18.3,294,444,122,3.1,177,0,903,75.9,11.9,4.7,7.56,222,31.9,true,true,true,83,Breakfast,Italy
38,Peach (Raw),,Fruit,International,300,162.6,2.6,48.0,1.2,8.0,4.6,474,934,475,7.2,227,0,159,118.6,3.0,2.38,1.96,175,66.3,true,true,true,31,Snack,Italy
39,Pasta (Fried),,Grains,International,180,282.3,10.7,63.1,3.5,3.7,15.2,49,339,140,3.4,117,0,1499,70.2,3.6,5.57,3.89,379,48.0,true,true,true,65,Dinner,USA
40,Shrimp (Traditional),,Protein,International,200,368.6,40.9,2.1,19.2,5.4,7.7,365,542,96,6.5,90,105,1476,68.0,1.7,6.22,4.43,458,47.9,false,false,true,93,Dinner,Italy
41,Sobia (Traditional),,Egyptian,Egyptian,150,333.4,14.7,34.5,14.3,2.8,9.5,470,366,497,6.0,118,365,1252,48.0,8.5,5.22,2.76,75,37.8,false,false,true,37,Dinner,Egypt
42,Corn (With Vegetables),,Vegetable,International,80,29.4,1.7,5.0,0.2,2.1,5.5,821,1170,247,0.7,149,0,858,38.9,9.4,5.28,6.37,96,37.4,true,true,true,58,Breakfast,Mexico
43,Lean Beef (Grilled),,Protein,International,150,294.0,38.9,1.5,14.9,0.5,4.8,950,926,122,1.1,131,20,1272,125.7,11.0,2.99,6.78,217,36.7,false,false,true,29,Snack,Japan
44,Bulgur (Baked),,Grains,International,100,187.5,5.4,38.2,2.2,7.8,10.3,437,444,22,6.7,137,0,397,93.9,3.6,6.89,2.37,571,81.4,true,true,true,51,Lunch,France
45,Apricot (With Vegetables),,Fruit,International,300,165.6,2.9,46.6,1.3,8.5,0.4,1156,135,336,6.3,249,0,1486,116.0,4.1,0.85,5.12,330,68.1,true,true,true,95,Dinner,Italy
46,Turnip (Steamed),,Vegetable,International,120,39.2,2.4,8.9,0.4,10.9,9.7,1043,801,86,4.6,139,0,132,96.9,1.7,3.48,0.49,389,49.5,true,true,true,46,Dinner,Turkey
47,Dates (Roasted),,Fruit,International,300,165.3,3.3,40.0,1.1,1.6,11.6,783,825,388,2.0,6,0,130,110.8,7.6,7.72,4.89,252,91.7,true,true,true,51,Breakfast,Japan
48,Basbousa (With Vegetables),,Egyptian,Egyptian,120,251.1,12.6,25.6,12.3,0.8,19.5,778,420,434,5.8,49,167,461,53.7,8.7,4.66,0.4,467,67.9,false,false,true,34,Breakfast,Egypt
49,Milk (With Rice),,Dairy,International,250,339.1,17.3,13.0,16.0,1.1,6.7,389,573,128,2.0,68,226,47,5.4,6.1,3.82,4.47,188,75.2,false,true,true,94,Lunch,Turkey
50,Grapes (Fried),,Fruit,International,75,44.5,0.8,10.7,0.3,10.5,2.9,923,1142,123,8.2,40,0,510,33.4,2.0,6.97,2.2,659,43.0,true,true,true,20,Dinner,Italy
51,Salmon (With Rice),,Protein,International,75,145.2,20.3,0.6,6.5,8.9,5.6,1065,1107,207,2.5,222,171,954,129.0,2.5,3.49,0.41,76,82.7,false,false,true,70,Lunch,USA
52,White Rice (With Sauce),,Grains,International,200,384.3,10.9,66.8,4.5,1.6,14.0,1161,385,323,8.7,169,0,1425,45.4,3.1,7.46,6.92,38,84.9,true,true,true,29,Dinner,France
53,Cottage Cheese (With Vegetables),,Dairy,International,300,356.0,21.3,17.8,16.0,11.9,12.4,1099,683,278,7.4,235,166,1019,94.9,10.4,4.6,2.38,223,78.3,false,true,true,60,Breakfast,Mexico
54,Melon (With Vegetables),,Fruit,International,90,53.1,0.8,13.1,0.3,9.1,10.7,575,1176,307,5.5,9,0,1485,79.2,5.3,1.02,3.9,458,30.4,true,true,true,35,Dinner,Japan
55,Zucchini (Fried),,Vegetable,International,75,23.1,1.7,5.4,0.2,1.6,18.6,895,655,45,2.5,228,0,1161,112.5,10.6,3.15,3.46,666,22.6,true,true,true,57,Snack,Mexico
56,Pistachios (Fried),,Nuts,International,90,533.0,16.4,18.0,40.5,10.4,6.0,642,427,150,0.9,96,120,856,142.7,9.8,6.02,0.16,535,66.3,true,true,true,76,Snack,Mexico
57,Garlic (With Vegetables),,Vegetable,International,100,32.9,2.3,6.1,0.3,11.7,17.7,462,50,442,0.5,80,0,291,131.3,5.1,6.75,5.37,608,24.8,true,true,true,41,Breakfast,Mexico
58,Om Ali (With Rice),,Egyptian,Egyptian,80,156.1,7.2,19.1,8.0,11.0,16.8,13,171,455,1.0,124,245,1369,123.1,11.6,6.7,4.14,206,72.0,false,false,true,32,Breakfast,Egypt
59,Baladi Bread (Homemade),,Egyptian,Egyptian,250,510.0,27.9,53.1,23.4,8.9,11.5,1097,422,93,2.1,79,91,1023,2.8,10.2,2.51,4.03,570,54.5,false,false,true,38,Breakfast,Egypt
60,Mahshi Warak Enab (High Protein),,Egyptian,Egyptian,250,545.3,23.7,48.0,20.5,8.1,0.5,608,1073,494,9.6,109,18,1446,123.2,7.2,6.03,7.65,484,36.6,false,false,true,35,Snack,Egypt
61,Chicken Thigh (High Protein),,Protein,International,300,571.5,62.2,3.0,33.0,10.3,15.5,412,405,137,4.2,198,337,1384,28.1,1.2,2.5,2.16,103,21.1,false,false,true,72,Dinner,Japan
62,Pasta (Fried),,Grains,International,180,371.4,12.3,60.9,4.1,9.3,18.8,884,228,190,2.1,192,0,110,105.4,10.0,7.26,7.93,641,68.9,true,true,true,59,Dinner,USA
63,Pasta (Fresh),,Grains,International,250,404.4,15.2,88.0,5.7,6.6,6.0,581,847,20,6.6,143,0,122,53.6,1.0,2.08,0.67,242,23.3,true,true,true,78,Breakfast,India
64,Garlic (Low Fat),,Vegetable,International,100,39.0,2.0,6.5,0.3,2.3,15.9,1183,989,215,2.5,48,0,553,62.3,6.0,7.87,2.35,52,34.8,true,true,true,65,Dinner,Italy
65,Egg (With Rice),,Protein,International,120,279.9,32.9,1.0,12.5,7.6,11.7,668,570,102,5.2,90,341,1355,37.5,3.4,4.32,6.89,605,36.9,false,true,true,64,Snack,France
66,Peanuts (Steamed),,Nuts,International,180,1076.3,31.2,33.5,79.2,4.5,2.8,596,1060,40,2.8,35,63,363,143.9,4.3,7.69,5.06,90,67.3,true,true,true,65,Breakfast,Japan
67,Milk (Fried),,Dairy,International,300,376.6,20.8,17.7,19.1,6.2,17.9,122,487,272,1.7,16,330,1411,0.6,11.4,7.91,6.25,271,45.4,false,true,true,81,Snack,India
68,Lean Beef (Cooked),,Protein,International,120,217.8,28.2,1.1,12.1,9.8,12.2,132,1147,39,0.3,192,314,181,52.6,8.1,6.03,3.57,556,50.7,false,false,true,49,Breakfast,USA
69,Walnuts (Low Fat),,Nuts,International,50,332.4,10.8,10.1,22.8,9.1,16.3,606,161,210,4.7,143,235,991,46.7,1.1,3.37,5.98,260,28.3,true,true,true,84,Lunch,Turkey
70,Cheddar Cheese (High Protein),,Dairy,International,120,128.2,8.5,6.3,7.8,9.8,14.9,955,1112,144,5.4,86,368,1004,122.3,11.2,4.44,7.2,208,51.2,false,true,true,77,Dinner,Japan
71,Salmon (With Vegetables),,Protein,International,200,418.0,44.0,2.0,21.0,1.0,6.3,414,205,479,2.2,146,174,1177,139.6,11.9,7.43,3.47,58,55.8,false,false,true,62,Breakfast,Italy
72,Watermelon (Premium),,Fruit,International,50,28.3,0.5,6.7,0.2,3.4,18.6,213,361,471,5.7,97,0,677,77.3,2.3,4.91,6.79,525,43.2,true,true,true,30,Dinner,Italy
73,Hawawshi (Homemade),,Egyptian,Egyptian,80,189.8,7.7,18.0,8.1,8.1,1.9,457,1000,418,8.0,214,394,472,19.3,7.8,5.19,0.61,347,52.1,false,false,true,26,Breakfast,Egypt
74,Pistachios (Baked),,Nuts,International,90,487.0,18.9,16.5,48.0,4.3,6.8,954,597,270,0.8,205,216,607,7.5,8.0,2.03,1.36,370,48.3,true,true,true,41,Dinner,Mexico
75,Turkey (Raw),,Protein,International,150,310.2,33.4,1.7,15.2,7.5,18.3,521,801,389,8.8,140,123,107,111.2,11.5,5.41,1.48,487,23.3,false,false,true,28,Lunch,Japan
76,Zucchini (Fried),,Vegetable,International,180,56.6,3.9,13.5,0.5,6.1,0.3,1058,316,92,6.8,105,0,1398,88.8,7.4,3.97,6.76,95,55.7,true,true,true,31,Snack,France
77,Alexandrian Liver (Traditional),,Egyptian,Egyptian,120,251.0,10.3,28.0,11.3,6.1,5.6,1099,1037,141,0.4,127,353,1226,119.3,3.9,3.06,0.24,392,38.0,false,false,true,90,Dinner,Egypt
78,Mahshi (Low Fat),,Egyptian,Egyptian,50,107.0,4.3,9.9,5.0,0.1,14.9,933,1100,478,9.7,112,323,805,88.4,7.9,5.66,6.52,506,60.0,false,false,true,62,Dinner,Egypt
79,Pistachios (Homemade),,Nuts,International,100,669.2,22.4,18.2,50.3,10.4,13.2,403,375,309,6.3,193,94,1394,123.2,9.8,6.22,6.37,300,94.8,true,true,true,61,Breakfast,USA
80,Shrimp (Steamed),,Protein,International,80,181.3,17.9,0.8,7.9,11.8,11.0,725,346,449,4.1,19,20,1249,62.4,1.0,4.99,7.75,186,69.0,false,false,true,52,Snack,India
81,Apricot (Traditional),,Fruit,International,50,33.4,0.5,7.1,0.2,7.0,12.0,664,541,173,0.8,244,0,597,89.3,5.2,7.78,1.91,200,27.6,true,true,true,55,Dinner,India
82,Pepper (Premium),,Vegetable,International,75,23.4,1.6,5.9,0.2,0.7,8.0,1002,249,334,7.2,247,0,505,147.1,4.5,0.58,6.81,319,46.0,true,true,true,45,Snack,USA
83,Feteer Meshaltet (Raw),,Egyptian,Egyptian,180,441.5,19.3,42.4,18.6,5.1,15.5,744,942,249,0.8,105,246,596,32.9,8.5,5.13,3.8,527,42.4,false,false,true,78,Dinner,Egypt
84,Labneh (Grilled),,Dairy,International,250,264.9,19.3,17.2,13.9,0.6,13.5,226,682,130,2.1,221,51,299,91.2,6.0,5.68,7.31,228,75.0,false,true,true,78,Dinner,Japan
85,Molokhia (Restaurant Style),,Egyptian,Egyptian,75,186.0,7.4,14.9,5.9,10.8,0.7,692,399,388,0.2,224,59,393,47.1,3.5,7.92,0.84,240,70.2,false,false,true,70,Snack,Egypt
86,Quinoa (Traditional),,Grains,International,90,176.0,5.1,34.7,1.9,3.4,2.8,85,916,197,6.9,113,0,307,65.2,4.5,4.75,4.73,525,33.9,true,true,true,69,Dinner,Mexico
87,Chicken Breast (Fried),,Protein,International,150,349.3,37.8,1.5,17.2,4.8,19.0,331,553,64,8.6,228,23,283,80.1,2.0,2.73,1.9,368,39.7,false,false,true,77,Dinner,France
88,Labneh (Premium),,Dairy,International,250,322.6,21.7,13.9,16.5,1.5,11.5,463,1127,309,2.4,153,389,369,140.3,2.8,3.37,5.85,512,20.9,false,true,true,88,Snack,Mexico
89,Hazelnuts (Boiled),,Nuts,International,120,806.5,25.2,20.0,67.9,8.6,7.1,662,51,216,2.6,75,191,444,74.5,6.9,2.22,4.95,167,30.7,true,true,true,74,Snack,USA
90,Pistachios (Baked),,Nuts,International,200,1284.6,37.8,37.6,101.9,2.7,18.0,971,78,301,6.5,248,348,1297,32.6,7.0,3.63,0.33,472,25.7,true,true,true,91,Dinner,France
91,Cottage Cheese (High Protein),,Dairy,International,90,105.3,7.9,5.8,6.1,3.0,12.7,212,69,169,5.4,22,31,968,129.8,7.3,5.86,5.02,676,33.2,false,true,true,40,Snack,Japan
92,Shrimp (Fresh),,Protein,International,80,189.7,18.4,0.8,8.1,9.5,16.2,284,810,429,0.2,114,112,593,19.6,10.0,2.84,4.79,231,92.8,false,false,true,86,Snack,Mexico
93,Pistachios (Restaurant Style),,Nuts,International,50,320.3,10.8,10.2,26.6,0.5,2.3,1002,69,118,6.8,104,368,1321,83.1,1.1,2.25,2.31,206,78.9,true,true,true,55,Lunch,France
94,Bamia (With Rice),,Egyptian,Egyptian,100,202.3,10.8,24.4,8.9,10.9,18.3,970,244,19,9.5,245,398,629,78.8,5.2,1.49,0.46,157,80.5,false,false,true,40,Breakfast,Egypt
95,Oats (Fried),,Grains,International,90,148.7,5.5,29.0,1.9,9.7,17.6,1047,644,30,0.4,127,0,1429,147.6,8.8,4.85,7.94,172,39.9,true,true,true,77,Snack,Italy
96,Greek Yogurt (Boiled),,Dairy,International,200,253.4,13.7,12.7,13.0,4.6,16.0,91,567,410,7.1,223,263,1460,128.9,0.1,7.21,6.05,259,38.3,false,true,true,84,Lunch,Italy
97,Sugar Cane Juice (Raw),,Egyptian,Egyptian,150,339.1,14.1,28.8,13.8,5.5,4.3,589,704,409,8.1,38,302,247,119.2,8.0,6.23,7.46,231,52.2,false,false,true,31,Snack,Egypt
98,Spinach (With Sauce),,Vegetable,International,200,67.8,4.6,15.5,0.7,0.2,1.2,449,303,211,0.7,246,0,1477,39.8,2.9,1.36,5.75,504,29.9,true,true,true,72,Lunch,Japan
99,Zucchini (Premium),,Vegetable,International,120,48.2,2.2,8.4,0.3,6.9,2.8,359,245,109,2.2,25,0,157,7.8,7.5,1.33,0.85,242,66.2,true,true,true,73,Breakfast,Italy
100,Apple (Raw),,Fruit,International,75,43.3,0.7,12.0,0.3,8.9,14.7,375,838,32,5.5,53,0,1136,23.1,5.3,7.37,7.55,403,75.6,true,true,true,32,Lunch,Mexico
101,Cheddar Cheese (With Sauce),,Dairy,International,100,107.3,7.6,6.6,5.2,8.3,6.2,614,689,171,7.9,145,247,9,102.9,0.4,6.16,0.49,685,28.2,false,true,true,67,Breakfast,Turkey
102,Oats (Traditional),,Grains,International,200,314.2,11.4,66.8,3.7,5.6,4.5,604,948,9,6.8,127,0,1014,31.8,11.5,3.21,5.01,179,76.8,true,true,true,65,Breakfast,Mexico
103,Quinoa (High Protein),,Grains,International,100,175.7,6.2,32.6,2.0,10.9,3.0,866,1100,433,6.8,15,0,624,143.6,10.4,3.91,7.45,345,76.6,true,true,true,41,Lunch,France
104,Besara (Organic),,Egyptian,Egyptian,90,169.8,7.8,22.7,7.4,11.0,8.0,734,890,446,3.7,107,383,1073,79.9,0.1,1.88,1.28,656,32.6,false,false,true,77,Breakfast,Egypt
105,Mango (Low Fat),,Fruit,International,100,60.7,1.0,13.1,0.4,11.3,11.1,762,976,65,8.0,143,0,1248,61.9,5.0,4.1,4.17,106,23.5,true,true,true,45,Snack,Japan
106,Lemon (With Sauce),,Fruit,International,300,173.1,2.8,43.8,1.1,9.3,8.5,212,306,402,4.5,230,0,562,99.7,0.2,3.68,4.01,96,86.2,true,true,true,41,Breakfast,Japan
107,Fig (Fried),,Fruit,International,120,63.1,1.2,16.5,0.5,1.4,6.4,877,450,231,6.5,56,0,336,130.7,1.9,4.85,7.9,42,78.1,true,true,true,30,Dinner,India
108,Pear (Premium),,Fruit,International,80,49.9,0.8,13.5,0.3,3.7,6.0,603,60,344,9.0,241,0,1052,83.2,4.3,6.98,4.9,307,51.2,true,true,true,59,Breakfast,Turkey
109,Hazelnuts (Raw),,Nuts,International,50,307.2,9.3,10.1,24.2,8.4,1.4,577,937,370,0.9,52,344,781,149.4,7.4,7.12,7.93,527,29.0,true,true,true,78,Breakfast,France
110,Basbousa (Cooked),,Egyptian,Egyptian,180,434.1,20.3,43.0,13.8,7.9,3.9,185,920,149,8.4,135,163,664,108.3,3.9,2.41,1.25,358,83.9,false,false,true,29,Breakfast,Egypt
111,Cottage Cheese (With Vegetables),,Dairy,International,90,110.2,6.1,5.7,5.2,4.9,3.3,795,165,245,1.2,195,112,1478,3.2,1.4,0.12,1.99,431,68.6,false,true,true,89,Lunch,France
112,Quinoa (Fried),,Grains,International,150,262.7,8.9,54.1,3.1,5.4,3.2,354,98,142,4.6,30,0,1191,38.5,3.2,4.66,6.68,66,71.1,true,true,true,33,Dinner,USA
113,Turkey (Spicy),,Protein,International,90,188.2,23.8,0.8,10.3,9.9,8.3,1157,270,412,9.1,48,127,363,5.7,3.0,7.43,5.37,214,50.6,false,false,true,92,Snack,Mexico
114,Almonds (Cooked),,Nuts,International,90,556.0,17.4,15.1,44.9,4.4,10.0,349,640,243,9.1,43,64,1184,2.2,10.6,3.75,6.87,311,54.5,true,true,true,49,Breakfast,USA
115,Onion (Roasted),,Vegetable,International,80,29.8,1.5,5.9,0.2,0.0,14.3,629,1126,189,9.0,220,0,289,118.1,4.0,3.31,5.92,305,57.3,true,true,true,55,Lunch,USA
116,Broccoli (With Rice),,Vegetable,International,120,44.0,2.3,7.6,0.4,4.7,6.3,435,463,313,2.1,99,0,598,21.8,10.9,4.03,1.17,200,48.7,true,true,true,41,Snack,Japan
117,Papaya (With Vegetables),,Fruit,International,150,96.8,1.3,23.2,0.6,6.7,3.9,605,577,136,7.3,235,0,1143,30.0,5.7,0.58,7.26,493,35.4,true,true,true,65,Lunch,Japan
118,Tuna (Baked),,Protein,International,100,224.0,23.1,1.0,9.8,5.6,2.1,577,734,42,1.9,16,145,832,97.0,8.1,5.46,4.76,551,73.0,false,false,true,87,Lunch,USA
119,Broccoli (With Vegetables),,Vegetable,International,75,28.0,1.4,5.4,0.2,2.0,19.9,873,410,309,8.3,92,0,246,57.3,1.2,5.23,0.6,448,41.7,true,true,true,57,Dinner,India
120,Cashews (Organic),,Nuts,International,90,535.3,17.2,16.4,45.5,10.9,13.8,635,82,13,8.1,141,325,352,121.7,12.0,4.59,4.49,651,63.5,true,true,true,94,Dinner,USA
121,Cashews (Premium),,Nuts,International,150,765.6,29.5,29.9,68.5,7.1,16.8,152,1194,11,4.6,130,169,122,28.4,0.9,7.91,0.2,366,43.6,true,true,true,55,Lunch,Turkey
122,Pistachios (With Sauce),,Nuts,International,100,648.2,19.3,19.4,52.7,1.1,3.9,1041,745,381,4.0,23,305,788,112.7,6.9,2.14,6.61,334,88.3,true,true,true,42,Snack,Japan
123,Apricot (Grilled),,Fruit,International,250,151.2,2.5,42.8,1.1,9.0,1.0,1015,928,41,9.1,68,0,47,42.7,2.5,3.3,0.5,107,35.2,true,true,true,87,Breakfast,Mexico
124,Cottage Cheese (Premium),,Dairy,International,250,313.6,18.2,14.3,15.1,1.4,11.1,491,805,440,6.7,149,349,1173,76.0,0.0,0.13,6.15,205,52.8,false,true,true,41,Breakfast,Italy
125,Chicken Breast (Grilled),,Protein,International,250,488.2,51.1,2.3,27.1,5.9,1.2,428,1194,13,4.5,166,33,209,123.9,9.0,0.09,5.27,566,94.0,false,false,true,34,Lunch,Japan
126,Plum (Premium),,Fruit,International,200,112.5,2.2,27.2,0.8,2.8,4.2,599,265,475,1.1,142,0,1396,30.3,5.7,7.03,6.13,61,64.9,true,true,true,21,Lunch,Italy
127,Cottage Cheese (Premium),,Dairy,International,200,275.5,18.0,11.6,13.6,8.0,2.1,1016,949,300,5.4,37,194,725,53.1,0.2,5.91,2.17,647,76.7,false,true,true,35,Snack,Mexico
128,Milk (Homemade),,Dairy,International,300,382.5,23.8,18.3,15.7,3.3,10.0,1017,480,462,9.0,231,161,345,66.6,2.1,1.9,1.34,659,53.9,false,true,true,34,Dinner,Turkey
129,Onion (Low Fat),,Vegetable,International,100,34.7,1.8,6.1,0.3,9.2,6.1,1036,730,453,8.0,75,0,1353,105.3,5.0,1.07,5.99,192,42.7,true,true,true,23,Snack,India
130,Cashews (With Vegetables),,Nuts,International,250,1528.6,54.1,41.8,117.3,2.2,2.9,119,321,179,7.7,39,304,535,22.1,11.9,1.19,1.03,392,91.2,true,true,true,87,Snack,India
131,Chicken Thigh (Restaurant Style),,Protein,International,50,118.3,13.2,0.5,5.0,5.3,12.3,62,256,358,3.8,132,167,886,76.1,7.0,0.22,5.55,523,66.5,false,false,true,79,Snack,India
